PlayerName,PlayerId,Pos,Team,PlayerOpponent,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Brandon Aubrey,2571750,K,DAL,Bye,,,,,,,,,,,,28,1,0.00,
Mike Badgley,2560965,K,IND,ATL,2.54,0.18,,0.36,0.54,0.63,0.18,,,0.09,7.94,15,2,0.00,-7.94
Tyler Bass,2563596,K,BUF,@MIA,,,,,,,,,,,0.00,29,3,0.00,0.0
Jake Bates,2571759,K,DET,@WAS,3.18,0.14,,0.34,0.54,0.54,0.41,,,0.07,9.40,1,4,0.00,-9.4
Andy Borregales,2574365,K,NE,@TB,1.97,0.11,,0.34,0.45,0.45,0.17,,,0.06,6.49,26,5,0.00,-6.49
Chris Boswell,2550545,K,PIT,@LAC,2.06,0.06,,0.42,0.55,0.48,0.36,,,,8.39,6,6,0.00,-8.39
Harrison Butker,2558245,K,KC,Bye,,,,,,,,,,,,30,7,0.00,
Anders Carlson,2569750,K,FA,Bye,,,,,,,,,,,,31,8,0.00,
Daniel Carlson,2560993,K,LV,@DEN,1.97,0.06,,0.4,0.4,0.46,0.4,,,,7.91,16,9,0.00,-7.91
Ryan Coe,2574584,K,FA,Bye,,,,,,,,,,,,32,10,0.00,
Caden Davis,2574436,K,FA,Bye,,,,,,,,,,,,33,11,0.00,
Cameron Dicker,2568435,K,LAC,PIT,2.48,0.13,0.06,0.38,0.57,0.57,0.38,,,,9.24,2,12,0.00,-9.24
Jake Elliott,2558172,K,PHI,@GB,2.67,0.12,,0.42,0.48,0.48,0.24,,,0.06,7.95,14,13,0.00,-7.95
Ka'imi Fairbairn,2556521,K,HOU,JAX,2.2,0.12,,0.42,0.54,0.48,0.36,,,0.06,8.26,11,14,0.00,-8.26
Ryan Fitzgerald,2573979,K,CAR,NO,2,0.06,,0.38,0.56,0.5,0.19,,,0.06,7.40,21,15,0.00,-7.4
Nick Folk,2507225,K,NYJ,CLE,1.78,0.05,,0.32,0.49,0.43,0.16,,,0.05,6.42,27,16,0.00,-6.42
Graham Gano,71309,K,NYG,@CHI,1.81,0.13,,0.38,0.5,0.44,0.25,,,0.06,6.88,24,17,0.00,-6.88
Matt Gay,2562271,K,WAS,DET,2.67,0.12,,0.42,0.48,0.42,0.3,,,0.06,8.01,13,18,0.00,-8.01
Zane Gonzalez,2558178,K,FA,Bye,2.2,0.24,,0.24,0.73,0.49,0.24,,,,,20,19,0.00,
Blake Grupe,2571234,K,NO,@CAR,1.81,0.12,,0.35,0.47,0.41,0.29,,,,6.88,25,20,0.00,-6.88
Alex Hale,2573890,K,FA,Bye,,,,,,,,,,,,34,21,0.00,
Lucas Havrisik,2569534,K,GB,PHI,,,,,,,,,,,0.00,35,22,0.00,0.0
Dustin Hopkins,2539227,K,FA,Bye,,,,,,,,,,,,36,23,0.00,
John Hoyland,2573932,K,FA,Bye,,,,,,,,,,,,37,24,0.00,
Greg Joseph,2561534,K,FA,Bye,,,,,,,,,,,,38,25,0.00,
Joshua Karty,2572201,K,LAR,@SF,2.24,0.13,,0.46,0.53,0.53,0.33,,,0.07,8.39,7,26,0.00,-8.39
Jonathan Kim,2574013,K,FA,Bye,,,,,,,,,,,,39,27,0.00,
Younghoe Koo,2559205,K,NYG,@CHI,,,,,,,,,,,0.00,40,28,0.00,0.0
Lenny Krieg,2573911,K,ATL,@IND,,,,,,,,,,,0.00,41,29,0.00,0.0
Cam Little,2572147,K,JAX,@HOU,2.25,0.12,,0.43,0.49,0.43,0.3,,,0.06,7.69,18,30,0.00,-7.69
Tyler Loop,2573940,K,BAL,@MIN,2.92,0.19,,0.32,0.52,0.58,0.26,,,0.06,8.30,8,31,0.00,-8.3
Wil Lutz,2556601,K,DEN,LV,2.4,0.13,,0.47,0.53,0.47,0.4,,,0.07,8.69,5,32,0.00,-8.69
Jude McAtamney,2573503,K,NYG,@CHI,,,,,,,,,,,0.00,42,33,0.00,0.0
Chase McLaughlin,2563203,K,TB,NE,2.74,0.13,,0.39,0.52,0.52,0.39,,,,8.98,3,34,0.00,-8.98
Brandon McManus,2541556,K,GB,PHI,2.25,0.13,,0.44,0.5,0.5,0.31,,,,8.10,12,35,0.00,-8.1
Mark McNamee,2574637,K,FA,Bye,,,,,,,,,,,,43,36,0.00,
Evan McPherson,2565953,K,CIN,Bye,,,,,,,,,,,,44,37,0.00,
Harrison Mevis,2572932,K,FA,Bye,,,,,,,,,,,,45,38,0.00,
Jake Moody,2570308,K,CHI,NYG,,,,,,,,,,,0.00,46,39,0.00,0.0
Jason Myers,2553112,K,SEA,ARI,2.15,0.13,,0.46,0.52,0.52,0.26,,,0.07,7.88,17,40,0.00,-7.88
Riley Patterson,2567013,K,MIA,BUF,2.49,0.19,,0.38,0.57,0.38,0.19,,,0.19,7.05,23,41,0.00,-7.05
Eddy Pineiro,2560842,K,SF,LAR,2.21,0.25,,0.25,0.74,0.49,0.25,,,,7.64,19,42,0.00,-7.64
Matt Prater,2506677,K,BUF,@MIA,3,0.27,,0.27,0.82,0.54,0.27,,,,8.97,4,43,0.00,-8.97
Will Reichard,2572273,K,MIN,BAL,2.31,0.13,,0.38,0.5,0.5,0.38,,,0.06,8.27,9,44,0.00,-8.27
John Parker Romo,2569101,K,ATL,@IND,,,,,,,,,,,0.00,47,45,0.00,0.0
Chad Ryland,2570125,K,ARI,@SEA,1.99,0.12,,0.35,0.47,0.47,0.29,,,0.06,7.24,22,46,0.00,-7.24
Jason Sanders,2561153,K,MIA,BUF,,,,,,,,,,,0.00,48,47,0.00,0.0
Cairo Santos,2550636,K,CHI,NYG,2.05,0.07,,0.46,0.53,0.59,0.26,,,0.07,8.27,10,48,0.00,-8.27
