PlayerName,PlayerId,Pos,Team,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,Rank,TotalPoints
Justin Tucker,2536340,K,BAL,27,,,4,10,14,10,,,1,1,174.00
Wil Lutz,2556601,K,NO,49,1,1,7,9,8,3,,,2,2,143.70
Dan Bailey,2495259,K,FA,46,,,9,8,7,3,,,,3,142.50
Matt Prater,2506677,K,ARI,31,2,,10,4,10,7,,,1,4,141.00
Dustin Hopkins,2539227,K,LAC,36,3,,12,12,7,3,,,2,5,140.00
Graham Gano,71309,K,NYG,31,3,,4,9,14,3,,,2,6,136.80
Brandon McManus,2541556,K,DEN,32,1,,9,10,7,3,,,,7,134.70
Cairo Santos,2550636,K,CHI,36,3,,8,15,6,2,,1,2,8,129.40
Stephen Gostkowski,2506922,K,FA,46,3,,9,7,9,2,,,2,9,129.00
Jason Myers,2553112,K,SEA,29,3,,7,3,10,7,,,1,10,125.70
Mason Crosby,2507232,K,GB,44,3,1,6,13,5,1,,,2,11,119.70
Ryan Succop,89802,K,TB,39,2,1,4,6,8,3,,,,12,113.00
Chris Boswell,2550545,K,PIT,36,,,2,8,11,,,,1,13,110.70
Nick Folk,2507225,K,NE,24,2,,12,10,3,2,,1,1,14,104.70
Greg Zuerlein,2534797,K,DAL,23,,,5,9,3,2,,,,15,87.80
Cody Parkey,2550380,K,FA,20,1,,6,6,7,1,,,,16,86.00
Mike Nugent,2506386,K,FA,23,6,,9,9,5,,,,1,17,80.50
Randy Bullock,2533444,K,TEN,9,1,,4,2,2,,,,,18,33.70
Roberto Aguayo,2555408,K,FA,,,,,,,,,,,19,0.00
Matt Ammendola,2565555,K,NYJ,,,,,,,,,,,20,0.00
Mike Badgley,2560965,K,IND,,,,,,,,,,,21,0.00
Tyler Bass,2563596,K,BUF,,,,,,,,,,,22,0.00
Rodrigo Blankenship,2564106,K,IND,,,,,,,,,,,23,0.00
Chris Blewitt,2562800,K,FA,,,,,,,,,,,24,0.00
Harrison Butker,2558245,K,KC,,,,,,,,,,,25,0.00
Daniel Carlson,2560993,K,LV,,,,,,,,,,,26,0.00
Chandler Catanzaro,2550325,K,FA,,,,,,,,,,,27,0.00
Dominik Eberle,2565360,K,FA,,,,,,,,,,,28,0.00
Jake Elliott,2558172,K,PHI,,,,,,,,,,,29,0.00
Ka'imi Fairbairn,2556521,K,HOU,,,,,,,,,,,30,0.00
Sam Ficken,2557430,K,TEN,,,,,,,,,,,31,0.00
Kai Forbath,2495150,K,FA,,,,,,,,,,,32,0.00
Matt Gay,2562271,K,LA,,,,,,,,,,,33,0.00
Zane Gonzalez,2558178,K,CAR,,,,,,,,,,,34,0.00
Robbie Gould,2506264,K,SF,,,,,,,,,,,35,0.00
Lirim Hajrullahu,2563449,K,DAL,,,,,,,,,,,36,0.00
Stephen Hauschka,2507374,K,FA,,,,,,,,,,,37,0.00
Brian Johnson,2566740,K,FA,,,,,,,,,,,38,0.00
Greg Joseph,2561534,K,MIN,,,,,,,,,,,39,0.00
Alex Kessman,2566484,K,FA,,,,,,,,,,,40,0.00
Younghoe Koo,2559205,K,ATL,,,,,,,,,,,41,0.00
Josh Lambo,2553833,K,FA,,,,,,,,,,,42,0.00
Ty Long,2553555,K,LAC,,,,,,,,,,,43,0.00
Austin MacGinnis,2563452,K,FA,,,,,,,,,,,44,0.00
Brett Maher,2540243,K,NO,,,,,,,,,,,45,0.00
Tucker McCann,2565462,K,FA,,,,,,,,,,,46,0.00
Chase McLaughlin,2563203,K,CLE,,,,,,,,,,,47,0.00
Evan McPherson,2565953,K,CIN,,,,,,,,,,,48,0.00
JJ Molson,2565550,K,GB,,,,,,,,,,,49,0.00
Chris Naggar,2565744,K,CLE,,,,,,,,,,,50,0.00
Quinn Nordin,2565684,K,NE,,,,,,,,,,,51,0.00
Riley Patterson,2567013,K,DET,,,,,,,,,,,52,0.00
Aldrick Rosas,2556771,K,DET,,,,,,,,,,,53,0.00
Jason Sanders,2561153,K,MIA,,,,,,,,,,,54,0.00
Ryan Santoso,2561269,K,FA,,,,,,,,,,,55,0.00
Austin Seibert,2562729,K,DET,,,,,,,,,,,56,0.00
Joey Slye,2563132,K,WAS,,,,,,,,,,,57,0.00
Giorgio Tavecchio,2535686,K,FA,,,,,,,,,,,58,0.00
Jake Verity,2566731,K,BAL,,,,,,,,,,,59,0.00
Tristan Vizcaino,2562807,K,LAC,,,,,,,,,,,60,0.00
Brandon Wright,2564247,K,FA,,,,,,,,,,,61,0.00
Matthew Wright,2562968,K,JAX,,,,,,,,,,,62,0.00
