PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Tyler Huntley,2563560,QB,BAL,GB,215,2,,73,2,,,,,,,,35.90,13,,13,,,,,4,1,1,35.90
Patrick Mahomes,2558125,QB,KC,@LAC,410,3,1,32,,,,,,,1,1,31.30,3,,3,,,,,,,2,31.30
Jalen Hurts,2564832,QB,PHI,WAS,296,1,1,38,2,,,,,,,2,25.54,8,,8,,,,,3,3,3,25.54
Aaron Rodgers,2506363,QB,GB,@BAL,268,3,,11,,,,,,,,,23.82,4,,4,,,,,,,4,23.82
Justin Herbert,2565045,QB,LAC,KC,236,2,1,16,1,,,,,,,,23.04,5,,5,,,,,3,2,5,23.04
Jared Goff,2555334,QB,DET,ARI,216,3,,,,,,,,,,,20.64,,,,,,,,,,6,20.64
Cam Newton,2495455,QB,CAR,@BUF,156,1,1,71,1,,,,,,1,2,19.14,15,,15,,,,,2,1,7,19.14
Josh Allen,2560955,QB,BUF,CAR,210,3,1,24,,,,,,,,1,18.80,3,,3,,,,,,,8,18.80
Mac Jones,2566334,QB,NE,@IND,299,2,2,12,,,,,,,,,17.16,1,,1,,,,,,,9,17.16
Justin Fields,2565920,QB,CHI,MIN,285,1,,35,,,,,,,,2,15.90,7,,7,,,,,2,,10,15.90
Matthew Stafford,79860,QB,LA,SEA,244,2,1,-3,,,,,,,,,15.46,3,,3,,,,,,,11,15.46
Davis Mills,2566136,QB,HOU,@JAX,209,2,1,2,,,,,,,,,14.56,1,,1,,,,,,,12,14.56
Matt Ryan,310,QB,ATL,@SF,236,1,,20,,,,,,,,1,13.44,5,,5,,,,,2,1,13,13.44
Joe Burrow,2563722,QB,CIN,@DEN,157,1,,25,,,,,,,,,12.78,5,,5,,,,,1,,14,12.78
Tua Tagovailoa,2564499,QB,MIA,NYJ,196,2,2,19,,,,,,,,1,12.94,7,,7,,,,,,,15,12.74
Zach Wilson,2566391,QB,NYJ,@MIA,170,,,12,1,,,,,,,1,12.00,4,,4,,1,,1,1,1,16,12.00
Ben Roethlisberger,2506109,QB,PIT,TEN,148,,,,1,,,,,,,,11.92,3,,3,,,,,2,2,17,11.92
Jimmy Garoppolo,2543801,QB,SF,ATL,235,1,,4,,,,,,,,1,11.77,3,,3,,,,,,,18,11.77
Dak Prescott,2555260,QB,DAL,@NYG,217,1,,-1,,,,,,,,1,11.58,2,,2,,,,,,,19,11.58
Kyler Murray,2562382,QB,ARI,@DET,257,1,1,3,,,,,,,,1,13.99,4,,4,,,,,1,1,20,11.45
Trevor Lawrence,2566163,QB,JAX,HOU,210,,,21,,,,,,,,,10.50,5,,5,,,,,1,,21,10.50
Nick Mullens,2558979,QB,CLE,LV,147,1,,,,,,,,,,,9.88,,,,,,,,,,22,9.88
Taysom Hill,2558954,QB,NO,@TB,154,,,33,,,,,,,,,9.46,11,,11,,,,,,,23,9.46
Derek Carr,2543499,QB,LV,@CLE,236,1,1,7,,,,,,,,2,9.44,3,,3,,,,,2,2,24,9.14
Ryan Tannehill,2532956,QB,TEN,@PIT,153,,1,18,1,,,,,,,2,8.69,5,,5,,,,,2,1,25,8.69
Kirk Cousins,2532820,QB,MIN,@CHI,87,2,1,10,,,,,,,,1,8.48,2,,2,,,,,,,26,8.48
Drew Lock,2562305,QB,DEN,CIN,88,1,,-2,,,,,,,,1,11.94,1,,1,,,,,1,1,27,7.02
Carson Wentz,2555259,QB,IND,NE,57,1,1,17,,,,,,,,,5.98,8,,8,,,,,,,28,5.98
Garrett Gilbert,2549982,QB,WAS,@PHI,194,,,,,,,,,,,1,5.76,,,,,,,,,,29,5.76
Teddy Bridgewater,2543465,QB,DEN,CIN,98,,,10,,,,,,,,,11.94,3,,3,,,,,,,30,4.92
Tom Brady,2504211,QB,TB,NO,214,,1,2,,,,,,,,1,4.76,1,,1,,,,,,,31,4.76
Russell Wilson,2532975,QB,SEA,@LA,156,,1,,,,,,,,,,4.24,,,,,,,,,,32,4.24
Jake Fromm,2563608,QB,NYG,DAL,82,,,,,,,,,,,,1.24,,,,,,,,,,33,3.28
Colt McCoy,497123,QB,ARI,@DET,56,,,3,,,,,,,,,13.99,1,,1,,,,,1,,34,2.54
Marcus Mariota,2552466,QB,LV,@CLE,,,,3,,,,,,,,,9.44,1,,1,,,,,,,35,0.30
Jacoby Brissett,2555261,QB,MIA,NYJ,,,,2,,,,,,,,,12.94,1,,1,,,,,,,36,0.20
Brandon Allen,2555365,QB,CIN,@DEN,,,,,,,,,,,,,12.78,,,,,,,,,,37,0.00
Kyle Allen,2561177,QB,WAS,@PHI,,,,,,,,,,,,,5.76,,,,,,,,,,38,0.00
Kenji Bahar,2566608,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,39,0.00
Matt Barkley,2539308,QB,ATL,@SF,,,,,,,,,,,,,13.44,,,,,,,,,,40,0.00
C.J. Beathard,2557922,QB,JAX,HOU,,,,,,,,,,,,,10.50,,,,,,,,,,41,0.00
Kurt Benkert,2560974,QB,GB,@BAL,,,,,,,,,,,,,23.82,,,,,,,,,,42,0.00
David Blough,2563043,QB,DET,ARI,,,,,,,,,,,,,20.64,,,,,,,,,,43,0.00
Ian Book,2566352,QB,NO,@TB,,,,,,,,,,,,,9.46,,,,,,,,,,44,0.00
Blake Bortles,2543477,QB,NO,@TB,,,,,,,,,,,,,9.46,,,,,,,,,,45,0.00
Tim Boyle,2561187,QB,DET,ARI,,,,,,,,,,,,,20.64,,,,,,,,,,46,0.00
Drew Brees,2504775,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,47,0.00
Jake Browning,2562634,QB,CIN,@DEN,,,,,,,,,,,,,12.78,,,,,,,,,,48,0.00
Shane Buechele,2566983,QB,KC,@LAC,,,,,,,,,,,,,31.30,,,,,,,,,,49,0.00
Andy Dalton,2495143,QB,CHI,MIN,,,,,,,,,,,,,15.90,,,,,,,,,,50,0.00
Chase Daniel,81284,QB,LAC,KC,,,,,,,,,,,,,23.04,,,,,,,,,,51,0.00
