PlayerName,PlayerId,Pos,Team,PlayerOpponent,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Brandon Aubrey,2571750,K,DAL,@DET,2.45,0.06,,0.45,0.52,0.58,0.58,,,0.06,10.28,1,1,0.00,-10.28
Mike Badgley,2560965,K,FA,Bye,,,,,,,,,,,,28,2,0.00,
Tyler Bass,2563596,K,BUF,CIN,,,,,,,,,,,0.00,29,3,0.00,0.0
Jake Bates,2571759,K,DET,DAL,3.31,0.14,,0.35,0.56,0.56,0.42,,,0.07,9.75,2,4,0.00,-9.75
Andy Borregales,2574365,K,NE,Bye,,,,,,,,,,,,30,5,0.00,
Chris Boswell,2550545,K,PIT,@BAL,2.06,0.06,,0.43,0.55,0.49,0.36,,,,8.46,8,6,0.00,-8.46
Harrison Butker,2558245,K,KC,HOU,2.69,0.13,0.06,0.38,0.5,0.44,0.38,,,,8.65,5,7,0.00,-8.65
Anders Carlson,2569750,K,FA,Bye,,,,,,,,,,,,31,8,0.00,
Daniel Carlson,2560993,K,LV,DEN,1.96,0.06,,0.4,0.4,0.46,0.4,,,,7.90,18,9,0.00,-7.9
Ryan Coe,2574584,K,FA,Bye,,,,,,,,,,,,32,10,0.00,
Caden Davis,2574436,K,FA,Bye,,,,,,,,,,,,33,11,0.00,
Cameron Dicker,2568435,K,LAC,PHI,2.35,0.12,0.06,0.36,0.54,0.54,0.36,,,,8.77,4,12,0.00,-8.77
Jake Elliott,2558172,K,PHI,@LAC,2.75,0.13,,0.44,0.5,0.5,0.25,,,0.06,8.24,14,13,0.00,-8.24
Ka'imi Fairbairn,2556521,K,HOU,@KC,2.14,0.12,,0.4,0.52,0.46,0.35,,,0.06,7.95,16,14,0.00,-7.95
Ryan Fitzgerald,2573979,K,CAR,Bye,,,,,,,,,,,,34,15,0.00,
Nick Folk,2507225,K,NYJ,MIA,1.93,0.06,,0.35,0.53,0.47,0.18,,,0.06,6.99,25,16,0.00,-6.99
Graham Gano,71309,K,NYG,Bye,,,,,,,,,,,,35,17,0.00,
Matt Gay,2562271,K,SF,Bye,,,,,,,,,,,,36,18,0.00,
Zane Gonzalez,2558178,K,ATL,SEA,2.07,0.23,,0.23,0.69,0.46,0.23,,,,7.13,24,19,0.00,-7.13
Blake Grupe,2571234,K,IND,@JAX,2.2,0.14,,0.43,0.57,0.5,0.35,,,,8.39,9,20,0.00,-8.39
Alex Hale,2573890,K,FA,Bye,,,,,,,,,,,,37,21,0.00,
Lucas Havrisik,2569534,K,GB,CHI,,,,,,,,,,,0.00,38,22,0.00,0.0
Dustin Hopkins,2539227,K,FA,Bye,,,,,,,,,,,,39,23,0.00,
John Hoyland,2573932,K,FA,Bye,,,,,,,,,,,,40,24,0.00,
Greg Joseph,2561534,K,FA,Bye,,,,,,,,,,,,41,25,0.00,
Joshua Karty,2572201,K,LAR,@ARI,,,,,,,,,,,0.00,42,26,0.00,0.0
Jonathan Kim,2574013,K,FA,Bye,,,,,,,,,,,,43,27,0.00,
Younghoe Koo,2559205,K,NYG,Bye,,,,,,,,,,,,44,28,0.00,
Lenny Krieg,2573911,K,ATL,SEA,,,,,,,,,,,0.00,45,29,0.00,0.0
Cam Little,2572147,K,JAX,IND,2.43,0.13,,0.46,0.53,0.46,0.33,,,0.07,8.30,10,30,0.00,-8.3
Tyler Loop,2573940,K,BAL,PIT,2.92,0.19,,0.32,0.52,0.58,0.26,,,0.06,8.30,11,31,0.00,-8.3
Wil Lutz,2556601,K,DEN,@LV,2.35,0.13,,0.46,0.52,0.46,0.39,,,0.07,8.49,6,32,0.00,-8.49
Jude McAtamney,2573503,K,FA,Bye,,,,,,,,,,,,46,33,0.00,
Chase McLaughlin,2563203,K,TB,NO,2.74,0.13,,0.39,0.52,0.52,0.39,,,,8.98,3,34,0.00,-8.98
Brandon McManus,2541556,K,GB,CHI,2.29,0.13,,0.44,0.51,0.51,0.32,,,,8.26,13,35,0.00,-8.26
Mark McNamee,2574637,K,FA,Bye,,,,,,,,,,,,47,36,0.00,
