PlayerName,PlayerId,Pos,Team,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TangetsReceptions,Rank,TotalPoints
Anthony Schwartz,2565986,WR,CLE,,,,,,,,,,,,31.23,,,,,308,0.00
Caleb Scott,2561270,WR,FA,,,,,,,,,,,,,,,,,309,0.00
Mathew Sexton,2565792,WR,FA,,,,,,,,,,,,,,,,,310,0.00
Sterling Shepard,2555295,WR,NYG,,,,,,,,,,,,24.47,,,,,311,0.00
Trent Sherfield,2561272,WR,SF,,,,,,,,,,,,31.33,,,,,312,0.00
David Sills,2562732,WR,FA,,,,,,,,,,,,,,,,,313,0.00
Tyler Simmons,2564091,WR,FA,,,,,,,,,,,,,,,,,314,0.00
Micah Simon,2565576,WR,FA,,,,,,,,,,,,,,,,,315,0.00
Cam Sims,2561067,WR,WAS,,,,,,,,,,,,,,,,,316,0.00
Steven Sims,2563033,WR,FA,,,,,,,,,,,,,,,,,317,0.00
Darius Slayton,2562736,WR,NYG,,,,,,,,,,,,24.47,,,,,318,0.00
Jeff Smith,2562845,WR,NYJ,,,,,,,,,,,,33.76,,,,,319,0.00
Shi Smith,2565908,WR,CAR,,,,,,,,,,,,31.16,,,,,320,0.00
Tre'Quan Smith,2560878,WR,NO,,,,,,,,,,,,30.21,,,,,321,0.00
Vyncint Smith,2561427,WR,FA,,,,,,,,,,,,,,,,,322,0.00
Ihmir Smith-Marsette,2566319,WR,MIN,,,,,,,,,,,,28.06,,,,,323,0.00
Diontae Spencer,2550734,WR,DEN,,,,,,,,,,,,34.03,,,,,324,0.00
Marquez Stevenson,2565878,WR,BUF,,,,,,,,,,,,32.87,,,,,325,0.00
Dillon Stoner,2565663,WR,FA,,,,,,,,,,,,,,,,,326,0.00
Eli Stove,2566520,WR,FA,,,,,,,,,,,,,,,,,327,0.00
Mike Strachan,2565615,WR,IND,,,,,,,,,,,,26.45,,,,,328,0.00
Ryan Switzer,2557960,WR,CLE,,,,,,,,,,,,31.23,,,,,329,0.00
Donte Sylencieux,2566626,WR,FA,,,,,,,,,,,,,,,,,330,0.00
Golden Tate,497326,WR,FA,,,,,,,,,,,,,,,,,331,0.00
Khalil Tate,2564859,WR,FA,,,,,,,,,,,,,,,,,332,0.00
Trent Taylor,2558202,WR,FA,,,,,,,,,,,,,,,,,333,0.00
Tamorrion Terry,2567130,WR,FA,,,,,,,,,,,,,,,,,334,0.00
De'Anthony Thomas,2543638,WR,FA,,,,,,,,,,,,,,,,,335,0.00
Michael Thomas,2556370,WR,NO,,,,,,,,,,,,30.21,,,,,336,0.00
Mike Thomas,2556381,WR,CIN,,,,,,,,,,,,31.01,,,,,337,0.00
Cody Thompson,2562759,WR,FA,,,,,,,,,,,,,,,,,338,0.00
Laquon Treadwell,2555214,WR,FA,,,,,,,,,,,,,,,,,339,0.00
DJ Turner,2565666,WR,FA,,,,,,,,,,,,,,,,,340,0.00
Malik Turner,2561671,WR,DAL,,,,,,,,,,,,29.13,,,,,341,0.00
John Ursua,2562960,WR,SEA,,,,,,,,,,,,,,,,,342,0.00
Marquez Valdes-Scantling,2560907,WR,GB,,,,,,,,,,,,29.68,,,,,343,0.00
Tyler Vaughns,2565618,WR,FA,,,,,,,,,,,,,,,,,344,0.00
Ben Victor,2564781,WR,FA,,,,,,,,,,,,,,,,,345,0.00
Tre Walker,2566650,WR,FA,,,,,,,,,,,,,,,,,346,0.00
Greg Ward,2559278,WR,PHI,,,,,,,,,,,,22.19,,,,,347,0.00
JoJo Ward,2564946,WR,FA,,,,,,,,,,,,,,,,,348,0.00
James Washington,2560920,WR,PIT,,,,,,,,,,,,36.50,,,,,349,0.00
Scotty Washington,2563743,WR,FA,,,,,,,,,,,,,,,,,350,0.00
Justin Watson,2560051,WR,TB,,,,,,,,,,,,,,,,,351,0.00
Jester Weah,2560922,WR,FA,,,,,,,,,,,,,,,,,352,0.00
Nsimba Webster,2563316,WR,FA,,,,,,,,,,,,,,,,,353,0.00
Nick Westbrook-Ikhine,2565477,WR,TEN,,,,,,,,,,,,30.60,,,,,354,0.00
Cody White,2564313,WR,PIT,,,,,,,,,,,,36.50,,,,,355,0.00
Kevin White,2553432,WR,FA,,,,,,,,,,,,,,,,,356,0.00
Isaac Whitney,2559008,WR,FA,,,,,,,,,,,,,,,,,357,0.00
Kristian Wilkerson,2565480,WR,FA,,,,,,,,,,,,,,,,,358,0.00
Chad Williams,2558208,WR,FA,,,,,,,,,,,,,,,,,359,0.00
Duke Williams,2556836,WR,FA,,,,,,,,,,,,,,,,,360,0.00
Seth Williams,2566052,WR,FA,,,,,,,,,,,,,,,,,361,0.00
Tyrell Williams,2553913,WR,DET,,,,,,,,,,,,,,,,,362,0.00
Derrick Willies,2561470,WR,FA,,,,,,,,,,,,,,,,,363,0.00
Albert Wilson,2550272,WR,MIA,,,,,,,,,,,,31.19,,,,,364,0.00
Javon Wims,2560939,WR,FA,,,,,,,,,,,,,,,,,365,0.00
Juwann Winfree,2562956,WR,FA,,,,,,,,,,,,,,,,,366,0.00
Isaiah Wright,2565316,WR,FA,,,,,,,,,,,,,,,,,367,0.00
Isaiah Zuber,2564658,WR,FA,,,,,,,,,,,,,,,,,368,0.00
Tutu Atwell,2566196,WR,LA,,,,,,,,,,,1,40.58,,,,,369,-2.00
