PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
Justin Herbert,2565045,QB,LAC,CLE,398,,4,29,,,,,,1,,19.85,1,42.82,19.85,22.97
Lamar Jackson,2560757,QB,BAL,IND,442,,4,62,,,,,,2,1,22.12,2,41.88,22.12,19.76
Tom Brady,2504211,QB,TB,MIA,411,,5,13,,,,,,,,20.18,3,37.74,20.18,17.56
Josh Allen,2560955,QB,BUF,@KC,315,,3,59,,,,,,,,23.24,4,36.50,23.24,13.26
Jameis Winston,2552033,QB,NO,@WAS,279,1,4,26,,,,,,,1,,5,25.76,,
Davis Mills,2566136,QB,HOU,NE,312,,3,2,,,,,,,,12.09,6,24.68,12.09,12.59
Carson Wentz,2555259,QB,IND,@BAL,402,,2,5,,,,,,,1,16.12,7,22.58,16.12,6.46
Trevor Lawrence,2566163,QB,JAX,TEN,273,1,1,28,,,,,,,,15.95,8,21.72,15.95,5.77
Matt Ryan,310,QB,ATL,NYJ,342,,2,-1,,,,,,,,18.62,9,21.58,18.62,2.96
Baker Mayfield,2560800,QB,CLE,@LAC,305,,2,8,,,,,,1,1,17.88,10,21.00,17.88,3.12
Dak Prescott,2555260,QB,DAL,NYG,302,1,3,6,,,,,,,1,20.91,11,20.58,20.91,-0.33
Jalen Hurts,2564832,QB,PHI,@CAR,198,1,,30,,,,,,1,1,20.09,12,20.39,20.09,0.3
Joe Burrow,2563722,QB,CIN,GB,281,2,2,11,,,,,,1,,17.50,13,20.04,17.5,2.54
Aaron Rodgers,2506363,QB,GB,@CIN,344,1,2,,,,,,,,,20.32,14,19.76,20.32,-0.56
Patrick Mahomes,2558125,QB,KC,BUF,272,2,2,61,,,,,,,1,22.02,15,18.75,22.02,-3.27
Teddy Bridgewater,2543465,QB,DEN,@PIT,288,1,2,11,,,,,,,,14.83,16,18.62,14.83,3.79
Matthew Stafford,79860,QB,LA,@SEA,365,1,1,-1,,,,,,,,19.14,17,16.50,19.14,-2.64
Ben Roethlisberger,2506109,QB,PIT,DEN,253,,2,-1,,,,,,,1,16.73,18,16.02,16.73,-0.71
Jacoby Brissett,2555261,QB,MIA,@TB,275,1,2,,,,,,,,1,15.74,19,15.00,15.74,-0.74
Trey Lance,2566532,QB,SF,@ARI,192,1,,89,,,,,,,,19.83,20,14.58,19.83,-5.25
Ryan Tannehill,2532956,QB,TEN,@JAX,197,,1,21,,,,,,,,18.88,21,13.98,18.88,-4.9
Kirk Cousins,2532820,QB,MIN,DET,275,1,1,4,,,,,,,,20.44,22,13.40,20.44,-7.04
Mac Jones,2566334,QB,NE,@HOU,231,1,1,3,,,,,,,,16.18,23,11.54,16.18,-4.64
Kyler Murray,2562382,QB,ARI,SF,239,,1,1,,,,,,,2,22.33,24,10.49,22.33,-11.84
Taylor Heinicke,2553656,QB,WAS,NO,248,2,,40,,,,,,,,16.98,25,9.92,16.98,-7.06
Geno Smith,2539335,QB,SEA,LA,131,1,1,23,,,,,,,,0.61,26,9.54,0.61,8.93
Russell Wilson,2532975,QB,SEA,LA,152,1,1,10,,,,,,,,,27,9.08,,
Zach Wilson,2566391,QB,NYJ,@ATL,192,1,,3,,,,,,1,,14.40,28,7.98,14.4,-6.42
Derek Carr,2543499,QB,LV,CHI,206,1,,10,,,,,,,,20.03,29,7.24,20.03,-12.79
Mike Glennon,2539275,QB,NYG,@DAL,196,2,1,2,,,,,,,1,0.36,30,6.74,0.36,6.38
Justin Fields,2565920,QB,CHI,@LV,111,,1,4,,,,,,,1,14.41,31,6.61,14.41,-7.8
Jared Goff,2555334,QB,DET,@MIN,203,1,,,,,,,,1,1,17.58,32,6.12,17.58,-11.46
Sam Darnold,2561036,QB,CAR,PHI,177,3,1,10,,,,,,,,18.35,33,6.08,18.35,-12.27
Daniel Jones,2562299,QB,NYG,@DAL,98,,,9,,,,,,,,18.99,34,4.82,18.99,-14.17
Taysom Hill,2558954,QB,NO,@WAS,,,,,1,11,,,,,,1.01,35,3.30,1.01,2.29
Blaine Gabbert,2495441,QB,TB,MIA,41,,,-1,,,,,,,,0.77,36,1.54,0.77,0.77
Andy Dalton,2495143,QB,CHI,@LV,8,,,,,,,,,,,0.64,37,0.32,0.64,-0.32
Nathan Peterman,2558191,QB,LV,CHI,,,,2,,,,,,,,0.00,38,0.20,0.0,0.2
Brandon Allen,2555365,QB,CIN,GB,,,,,,,,,,,,0.65,39,0.00,0.65,-0.65
Kyle Allen,2561177,QB,WAS,NO,,,,,,,,,,,,0.77,40,0.00,0.77,-0.77
Kenji Bahar,2566608,QB,FA,Bye,,,,,,,,,,,,,41,0.00,,
Matt Barkley,2539308,QB,TEN,@JAX,,,,,,,,,,,,0.00,42,0.00,0.0,0.0
C.J. Beathard,2557922,QB,JAX,TEN,,,,,,,,,,,,0.67,43,0.00,0.67,-0.67
David Blough,2563043,QB,DET,@MIN,,,,,,,,,,,,0.33,44,0.00,0.33,-0.33
Ian Book,2566352,QB,NO,@WAS,,,,,,,,,,,,0.00,45,0.00,0.0,0.0
Blake Bortles,2543477,QB,GB,@CIN,,,,,,,,,,,,0.00,46,0.00,0.0,0.0
Tim Boyle,2561187,QB,DET,@MIN,,,,,,,,,,,,,47,0.00,,
Drew Brees,2504775,QB,FA,Bye,,,,,,,,,,,,,48,0.00,,
Jake Browning,2562634,QB,CIN,GB,,,,,,,,,,,,0.00,49,0.00,0.0,0.0
Shane Buechele,2566983,QB,KC,BUF,,,,,,,,,,,,0.00,50,0.00,0.0,0.0
Chase Daniel,81284,QB,LAC,CLE,,,,,,,,,,,,0.48,51,0.00,0.48,-0.48
Ben DiNucci,2563839,QB,DAL,NYG,,,,,,,,,,,,0.00,52,0.00,0.0,0.0
Joshua Dobbs,2558167,QB,PIT,DEN,,,,,,,,,,,,,53,0.00,,
Jeff Driskel,2555262,QB,HOU,NE,,,,,,,,,,,,0.67,54,0.00,0.67,-0.67
Jacob Eason,2564115,QB,SEA,LA,,,,,,,,,,,,0.00,55,0.00,0.0,0.0
Sam Ehlinger,2566142,QB,IND,@BAL,,,,,,,,,,,,0.00,56,0.00,0.0,0.0
Danny Etling,2560717,QB,FA,Bye,,,,,,,,,,,,,57,0.00,,
Ryan Finley,2562651,QB,FA,Bye,,,,,,,,,,,,,58,0.00,,
Ryan Fitzpatrick,2506581,QB,WAS,NO,,,,,,,,,,,,,59,0.00,,
Joe Flacco,382,QB,NYJ,@ATL,,,,,,,,,,,,0.50,60,0.00,0.5,-0.5
Nick Foles,2532842,QB,CHI,@LV,,,,,,,,,,,,0.00,61,0.00,0.0,0.0
Feleipe Franks,2566683,QB,ATL,NYJ,,,,,,,,,,,,0.00,62,0.00,0.0,0.0
Jake Fromm,2563608,QB,BUF,@KC,,,,,,,,,,,,,63,0.00,,
Jimmy Garoppolo,2543801,QB,SF,@ARI,,,,,,,,,,,,0.00,64,0.00,0.0,0.0
Garrett Gilbert,2549982,QB,NE,@HOU,,,,,,,,,,,,0.00,65,0.00,0.0,0.0
Anthony Gordon,2565153,QB,FA,Bye,,,,,,,,,,,,,66,0.00,,
Will Grier,2562404,QB,DAL,NYG,,,,,,,,,,,,0.00,67,0.00,0.0,0.0
Ryan Griffin,2541185,QB,TB,MIA,,,,,,,,,,,,0.00,68,0.00,0.0,0.0
Dwayne Haskins,2562660,QB,PIT,DEN,,,,,,,,,,,,0.00,69,0.00,0.0,0.0
