PlayerName,PlayerId,Pos,Team,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,Rank,TotalPoints
Greg Zuerlein,2534797,K,DAL,44,2,1,8,11,12,6,,,1,1,175.00
Justin Tucker,2536340,K,BAL,39,,,7,11,11,5,,,,2,167.10
Stephen Gostkowski,2506922,K,FA,45,2,,16,9,8,4,,,,3,166.00
Harrison Butker,2558245,K,KC,28,,,8,16,10,4,,,1,4,159.00
Wil Lutz,2556601,K,NO,47,3,,10,4,13,4,,,1,5,155.60
Chris Boswell,2550545,K,PIT,37,2,,10,12,9,4,,,2,6,152.70
Ryan Succop,89802,K,TB,31,2,,10,7,16,2,,,,7,152.50
Matt Prater,2506677,K,ARI,40,1,2,4,10,7,7,,,,8,148.00
Jake Elliott,2558172,K,PHI,39,3,,5,4,12,5,,,3,9,128.70
Graham Gano,71309,K,NYG,34,3,,8,11,10,,,,,10,122.00
Brandon McManus,2541556,K,DEN,27,,,6,11,4,3,,2,1,11,104.80
Ka'imi Fairbairn,2556521,K,HOU,32,3,,3,8,6,3,,1,2,12,92.70
Cody Parkey,2550380,K,FA,26,3,,6,8,6,1,,,,13,89.70
Randy Bullock,2533444,K,TEN,31,2,,6,7,4,1,,,1,14,84.00
Aldrick Rosas,2556771,K,DET,20,3,,8,3,4,3,,,2,15,78.10
Mason Crosby,2507232,K,GB,33,2,,8,2,4,1,,,2,16,77.70
Dan Bailey,2495259,K,FA,26,2,1,3,4,4,3,,1,1,17,72.00
Dustin Hopkins,2539227,K,LAC,18,1,1,7,2,4,,,,,18,61.00
Mike Nugent,2506386,K,FA,15,2,,3,3,4,1,,,1,19,47.00
Jason Myers,2553112,K,SEA,15,2,,4,2,5,,,,1,20,46.00
Cairo Santos,2550636,K,CHI,14,,,,4,,,,,,21,26.00
Nick Folk,2507225,K,NE,7,2,,2,1,2,1,,,1,22,22.00
Younghoe Koo,2559205,K,ATL,9,,,2,,1,,,,,23,19.00
Roberto Aguayo,2555408,K,FA,,,,,,,,,,,24,0.00
Matt Ammendola,2565555,K,NYJ,,,,,,,,,,,25,0.00
Mike Badgley,2560965,K,IND,,,,,,,,,,,26,0.00
Tyler Bass,2563596,K,BUF,,,,,,,,,,,27,0.00
Rodrigo Blankenship,2564106,K,IND,,,,,,,,,,,28,0.00
Chris Blewitt,2562800,K,FA,,,,,,,,,,,29,0.00
Daniel Carlson,2560993,K,LV,,,,,,,,,,,30,0.00
Chandler Catanzaro,2550325,K,FA,,,,,,,,,,,31,0.00
Dominik Eberle,2565360,K,FA,,,,,,,,,,,32,0.00
Sam Ficken,2557430,K,TEN,,,,,,,,,,,33,0.00
Kai Forbath,2495150,K,FA,,,,,,,,,,,34,0.00
Matt Gay,2562271,K,LA,,,,,,,,,,,35,0.00
Zane Gonzalez,2558178,K,CAR,,,,,,,,,,,36,0.00
Robbie Gould,2506264,K,SF,,,,,,,,,,,37,0.00
Lirim Hajrullahu,2563449,K,DAL,,,,,,,,,,,38,0.00
Stephen Hauschka,2507374,K,FA,,,,,,,,,,,39,0.00
Brian Johnson,2566740,K,FA,,,,,,,,,,,40,0.00
Greg Joseph,2561534,K,MIN,,,,,,,,,,,41,0.00
Alex Kessman,2566484,K,FA,,,,,,,,,,,42,0.00
Josh Lambo,2553833,K,FA,,,,,,,,,,,43,0.00
Ty Long,2553555,K,LAC,,,,,,,,,,,44,0.00
Austin MacGinnis,2563452,K,FA,,,,,,,,,,,45,0.00
Brett Maher,2540243,K,NO,,,,,,,,,,,46,0.00
Tucker McCann,2565462,K,FA,,,,,,,,,,,47,0.00
Chase McLaughlin,2563203,K,CLE,,,,,,,,,,,48,0.00
Evan McPherson,2565953,K,CIN,,,,,,,,,,,49,0.00
JJ Molson,2565550,K,GB,,,,,,,,,,,50,0.00
Chris Naggar,2565744,K,CLE,,,,,,,,,,,51,0.00
Quinn Nordin,2565684,K,NE,,,,,,,,,,,52,0.00
Riley Patterson,2567013,K,DET,,,,,,,,,,,53,0.00
Jason Sanders,2561153,K,MIA,,,,,,,,,,,54,0.00
Ryan Santoso,2561269,K,FA,,,,,,,,,,,55,0.00
Austin Seibert,2562729,K,DET,,,,,,,,,,,56,0.00
Joey Slye,2563132,K,WAS,,,,,,,,,,,57,0.00
Giorgio Tavecchio,2535686,K,FA,,,,,,,,,,,58,0.00
Jake Verity,2566731,K,BAL,,,,,,,,,,,59,0.00
Tristan Vizcaino,2562807,K,LAC,,,,,,,,,,,60,0.00
Brandon Wright,2564247,K,FA,,,,,,,,,,,61,0.00
Matthew Wright,2562968,K,JAX,,,,,,,,,,,62,0.00
