PlayerName,PlayerId,Pos,Team,PlayerOpponent,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,Rank,TotalPoints
Ka'imi Fairbairn,2556521,K,HOU,DEN,,,,1,1,3,,,,,1,18.00
Cam Little,2572147,K,JAX,@LV,3,,,,1,1,1,,,,2,15.60
Cameron Dicker,2568435,K,LAC,@TEN,3,,,1,,,1,,,,3,12.50
Mike Badgley,2560965,K,IND,@PIT,2,,,,,,2,,,,4,12.00
Eddy Pineiro,2560842,K,SF,@NYG,4,,,,1,,1,,,,5,12.00
Evan McPherson,2565953,K,CIN,CHI,4,,,,1,1,,,,,6,11.00
Will Reichard,2572273,K,MIN,@DET,3,,,1,,,1,,,,7,11.00
Chris Boswell,2550545,K,PIT,IND,3,,,1,,1,,,,,8,10.00
Chad Ryland,2570125,K,ARI,@DAL,3,,,,1,1,,,,,9,10.00
Cairo Santos,2550636,K,CHI,@CIN,5,,,1,1,,,,,,10,10.00
Jason Myers,2553112,K,SEA,@WAS,5,,,,,1,,,,,11,9.00
Joey Slye,2563132,K,TEN,LAC,2,,,,1,1,,,,,12,9.00
Harrison Butker,2558245,K,KC,@BUF,1,,1,,,1,,,,,13,8.00
Brandon McManus,2541556,K,GB,CAR,1,,,1,,1,,,,,14,7.00
Riley Patterson,2567013,K,MIA,BAL,,,,,,2,,,,1,15,7.00
Jake Bates,2571759,K,DET,MIN,3,,,,,1,,,,,16,6.60
Andy Borregales,2574365,K,NE,ATL,3,,,,1,,,,,,17,6.00
Brandon Aubrey,2571750,K,DAL,ARI,2,,,1,,,,,,,18,5.00
Graham Gano,71309,K,NYG,SF,3,,,1,,,,,,,19,5.00
Blake Grupe,2571234,K,NO,@LAR,1,,,,1,,,,,,20,4.00
Tyler Loop,2573940,K,BAL,@MIA,4,,,,,,,,,,21,4.00
Wil Lutz,2556601,K,DEN,@HOU,1,,,,1,,,,,,22,4.00
Matt Prater,2506677,K,BUF,KC,4,,,,,,,,,,23,4.00
Daniel Carlson,2560993,K,LV,JAX,2,1,,1,,,,,,,24,3.50
Ryan Fitzgerald,2573979,K,CAR,@GB,1,1,,,,1,,,,,25,2.00
Matt Gay,2562271,K,WAS,SEA,2,,,,,,,,,,26,2.00
John Parker Romo,2569101,K,ATL,@NE,2,1,,,1,,,,,,27,2.00
Tyler Bass,2563596,K,BUF,KC,,,,,,,,,,,28,0.00
Anders Carlson,2569750,K,FA,Bye,,,,,,,,,,,29,0.00
Ryan Coe,2574584,K,FA,Bye,,,,,,,,,,,30,0.00
Caden Davis,2574436,K,FA,Bye,,,,,,,,,,,31,0.00
Jake Elliott,2558172,K,PHI,Bye,,,,,,,,,,,32,0.00
Nick Folk,2507225,K,NYJ,Bye,,,,,,,,,,,33,0.00
Zane Gonzalez,2558178,K,FA,Bye,,,,,,,,,,,34,0.00
Alex Hale,2573890,K,FA,Bye,,,,,,,,,,,35,0.00
Lucas Havrisik,2569534,K,GB,CAR,,,,,,,,,,,36,0.00
Dustin Hopkins,2539227,K,FA,Bye,,,,,,,,,,,37,0.00
John Hoyland,2573932,K,FA,Bye,,,,,,,,,,,38,0.00
Greg Joseph,2561534,K,FA,Bye,,,,,,,,,,,39,0.00
Joshua Karty,2572201,K,LAR,NO,4,1,,,,,,,,1,40,0.00
Jonathan Kim,2574013,K,FA,Bye,,,,,,,,,,,41,0.00
Younghoe Koo,2559205,K,NYG,SF,,,,,,,,,,,42,0.00
Lenny Krieg,2573911,K,ATL,@NE,,,,,,,,,,,43,0.00
Jude McAtamney,2573503,K,NYG,SF,,,,,,,,,,,44,0.00
Chase McLaughlin,2563203,K,TB,Bye,,,,,,,,,,,45,0.00
Mark McNamee,2574637,K,FA,Bye,,,,,,,,,,,46,0.00
Harrison Mevis,2572932,K,FA,Bye,,,,,,,,,,,47,0.00
Jake Moody,2570308,K,CHI,@CIN,,,,,,,,,,,48,0.00
Jason Sanders,2561153,K,MIA,BAL,,,,,,,,,,,49,0.00
Ben Sauls,2574499,K,ATL,@NE,,,,,,,,,,,50,0.00
Spencer Shrader,2573175,K,IND,@PIT,,,,,,,,,,,51,0.00
Charlie Smyth,2572330,K,NO,@LAR,,,,,,,,,,,52,0.00
Andre Szmyt,2570470,K,CLE,Bye,,,,,,,,,,,53,0.00
Maddux Trujillo,2574200,K,FA,Bye,,,,,,,,,,,54,0.00
Justin Tucker,2536340,K,FA,Bye,,,,,,,,,,,55,0.00
Matthew Wright,2562968,K,FA,Bye,,,,,,,,,,,56,0.00
Cade York,2567487,K,FA,Bye,,,,,,,,,,,57,0.00
Greg Zuerlein,2534797,K,FA,Bye,,,,,,,,,,,58,0.00
