PlayerName,PlayerId,Pos,Team,PlayerOpponent,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Brandon Aubrey,2571750,K,DAL,@CAR,2.49,0.07,,0.46,0.52,0.59,0.59,,,0.07,10.39,1,1,0.00,-10.39
Mike Badgley,2560965,K,IND,ARI,2.51,0.18,,0.36,0.54,0.63,0.18,,,0.09,7.91,15,2,0.00,-7.91
Tyler Bass,2563596,K,BUF,@ATL,,,,,,,,,,,0.00,30,3,0.00,0.0
Jake Bates,2571759,K,DET,@KC,3,0.13,,0.32,0.51,0.51,0.38,,,0.06,8.85,8,4,0.00,-8.85
Andy Borregales,2574365,K,NE,@NO,1.97,0.11,,0.34,0.45,0.45,0.17,,,0.06,6.49,27,5,0.00,-6.49
Chris Boswell,2550545,K,PIT,CLE,2.09,0.06,,0.43,0.55,0.49,0.37,,,,8.54,11,6,0.00,-8.54
Harrison Butker,2558245,K,KC,DET,2.9,0.13,0.07,0.4,0.54,0.47,0.4,,,,8.93,6,7,0.00,-8.93
Anders Carlson,2569750,K,FA,Bye,,,,,,,,,,,,31,8,0.00,
Daniel Carlson,2560993,K,LV,TEN,2.28,0.07,,0.47,0.47,0.54,0.47,,,,9.27,2,9,0.00,-9.27
Ryan Coe,2574584,K,FA,Bye,,,,,,,,,,,,32,10,0.00,
Caden Davis,2574436,K,FA,Bye,,,,,,,,,,,,33,11,0.00,
Cameron Dicker,2568435,K,LAC,@MIA,2.48,0.13,0.06,0.38,0.57,0.57,0.38,,,,9.24,3,12,0.00,-9.24
Jake Elliott,2558172,K,PHI,@NYG,2.86,0.13,,0.45,0.52,0.52,0.26,,,0.06,8.57,10,13,0.00,-8.57
Ka'imi Fairbairn,2556521,K,HOU,Bye,,,,,,,,,,,,34,14,0.00,
Ryan Fitzgerald,2573979,K,CAR,DAL,1.97,0.06,,0.37,0.56,0.49,0.19,,,0.06,7.31,21,15,0.00,-7.31
Nick Folk,2507225,K,NYJ,DEN,1.8,0.05,,0.33,0.49,0.44,0.16,,,0.05,6.51,26,16,0.00,-6.51
Graham Gano,71309,K,NYG,PHI,,,,,,,,,,,0.00,35,17,0.00,0.0
Matt Gay,2562271,K,WAS,CHI,2.99,0.14,,0.48,0.54,0.48,0.34,,,0.07,9.04,4,18,0.00,-9.04
Zane Gonzalez,2558178,K,FA,Bye,,,,,,,,,,,,36,19,0.00,
Blake Grupe,2571234,K,NO,NE,1.87,0.12,,0.36,0.48,0.42,0.3,,,,7.09,24,20,0.00,-7.09
Alex Hale,2573890,K,FA,Bye,,,,,,,,,,,,37,21,0.00,
Dustin Hopkins,2539227,K,FA,Bye,,,,,,,,,,,,38,22,0.00,
John Hoyland,2573932,K,FA,Bye,,,,,,,,,,,,39,23,0.00,
Greg Joseph,2561534,K,FA,Bye,,,,,,,,,,,,40,24,0.00,
Joshua Karty,2572201,K,LAR,@BAL,2.21,0.13,,0.45,0.52,0.52,0.32,,,0.06,8.22,14,25,0.00,-8.22
Jonathan Kim,2574013,K,FA,Bye,,,,,,,,,,,,41,26,0.00,
Younghoe Koo,2559205,K,NYG,PHI,,,,,,,,,,,0.00,42,27,0.00,0.0
Lenny Krieg,2573911,K,ATL,BUF,,,,,,,,,,,0.00,43,28,0.00,0.0
Cam Little,2572147,K,JAX,SEA,2.44,0.13,,0.46,0.53,0.46,0.33,,,0.07,8.31,13,29,0.00,-8.31
Tyler Loop,2573940,K,BAL,LAR,2.65,0.18,,0.29,0.47,0.53,0.24,,,0.06,7.53,19,30,0.00,-7.53
