PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Foye Oluokun,2561132,LB,JAX,CAR,4.29,3.3,0.12,0.52,0.06,0.06,0.12,,,,,,,0.35,0.41,1.1,,11.09,10,1,20.90,9.81
Harold Landry III,2560784,LB,NE,LV,2.55,1.84,0.59,0.83,,,,,,,,,,0.18,1.25,,,8.43,42,2,18.10,9.67
SirVocea Dennis,2570347,LB,TB,@ATL,0.66,0.36,,,,0.05,0.05,,,,,,,0.05,,,,1.56,116,3,17.80,16.24
Ernest Jones,2566229,LB,SEA,SF,4.33,3.77,,0.17,0.06,0.06,,,,,,,,0.22,0.17,0.78,,10.09,19,4,17.73,7.64
Quay Walker,2567631,LB,GB,DET,,,,,,,,,,,,,,,,,,0.00,379,5,16.30,16.3
Bobby Okereke,2562416,LB,NYG,@WAS,4.96,2.48,0.11,0.34,,0.17,0.11,,,,,,,0.23,0.23,,,11.05,11,6,15.90,4.85
Demetrius Knight Jr.,2574031,LB,CIN,@CLE,3.2,1.53,,0.13,,0.07,,,,,,,,0.07,0.13,,,6.40,71,7,15.70,9.3
Nate Landman,2568519,LB,LAR,HOU,2.98,2.66,0.06,0.26,,0.19,,,,,,,,0.13,0.13,,,7.63,50,8,15.40,7.77
Devin White,2562781,LB,LV,@NE,1.49,0.69,0.05,0.16,,,,,,,,,,0.11,0.16,,,3.34,109,9,15.30,11.96
Zack Baun,2564664,LB,PHI,DAL,5.37,3.33,0.17,0.54,0.07,0.14,0.07,,,,,,,0.2,0.41,,,12.71,3,10,14.80,2.09
Tyrel Dodson,2562560,LB,MIA,@IND,3.06,2.12,0.06,0.18,0.12,0.06,,,,,,,,0.47,0.18,0.29,,8.16,43,11,14.70,6.54
Drue Tranquill,2562765,LB,KC,@LAC,3.23,2.21,0.23,0.28,,0.06,0.11,,,,,,,0.11,0.45,,,7.87,47,12,14.60,6.73
Jordyn Brooks,2565135,LB,MIA,@IND,4.73,3.09,0.17,0.56,0.06,,0.06,,,,,,,0.28,0.34,0.62,,11.29,9,13,14.40,3.11
Edgerrin Cooper,2572030,LB,GB,DET,4.67,2.47,0.31,1.03,0.07,0.14,0.14,0.07,,,,,,0.41,0.69,2.47,,13.26,2,14,14.40,1.14
Byron Young,2570014,LB,LAR,HOU,,,,,,,,,,,,,,,,,,0.00,400,15,14.40,14.4
Alex Highsmith,2564982,LB,PIT,@NYJ,1.93,1.4,0.53,0.58,,0.12,,,,,,,,0.23,1.29,,,7.31,59,16,14.30,6.99
Pete Werner,2566358,LB,NO,ARI,3.7,2.38,,0.2,,,,,,,,,,0.07,,,,7.45,54,17,14.20,6.75
Demario Davis,2533008,LB,NO,ARI,3.76,3.39,0.06,0.25,,,,,,,,,,0.37,0.19,,,9.19,33,18,13.80,4.61
Brian Burns,2562242,LB,NYG,@WAS,1.95,1.48,0.42,0.84,0.05,0.05,,,,,,,,0.32,0.95,1.11,,7.58,53,19,13.40,5.82
Roquan Smith,2560877,LB,BAL,@BUF,4.86,4.32,0.06,0.24,0.06,0.06,,,,,,,,0.3,0.24,,,11.65,7,20,13.20,1.55
Logan Wilson,2563752,LB,CIN,@CLE,4.67,3.52,0.06,0.32,0.06,0.13,,,,,,,,0.19,0.26,1.66,,11.04,12,21,12.80,1.76
Mack Wilson,2562605,LB,ARI,@NO,2.79,1.69,0.19,0.26,0.06,0.06,0.06,,,,,,,0.32,0.39,,,7.44,55,22,12.40,4.96
Devin Bush,2562243,LB,CLE,CIN,1.89,1.51,0.06,0.25,,,,,,,,,,0.13,0.06,,,4.59,97,23,12.30,7.71
Bobby Wagner,2532966,LB,WAS,NYG,4.37,3.25,0.12,0.56,,0.06,0.06,,,,,,,,,,,9.86,24,24,12.00,2.14
Henry To'oTo'o,2569831,LB,HOU,@LAR,3.39,2.63,0.06,0.35,,0.06,0.06,,,,,,,0.12,0.12,,,7.94,45,25,11.90,3.96
Daiyan Henley,2570281,LB,LAC,KC,4.17,3.24,0.06,0.46,0.12,0.06,,,,,,,,0.29,0.23,0.46,,10.49,15,26,11.50,1.01
T.J. Watt,2558064,LB,PIT,@NYJ,2.34,1.17,0.73,1.05,0.06,0.23,0.12,,,,,,,0.35,1.58,0.64,,10.07,21,27,11.20,1.13
Quincy Williams,2562954,LB,NYJ,PIT,3.63,2.12,0.1,0.62,,0.1,0.1,,,,,,,0.26,0.21,,,9.05,37,28,11.20,2.15
Christian Rozeboom,2564394,LB,CAR,@JAX,2.9,2.15,,0.17,0.06,,,,,,,,,0.23,0.06,0.46,,6.73,68,29,11.10,4.37
Dee Winters,2570296,LB,SF,@SEA,2.55,1.95,,0.06,0.06,,,,,,,,,0.36,0.06,0.85,,6.25,73,30,11.10,4.85
Nik Bonitto,2567517,LB,DEN,TEN,2.97,1.28,0.64,0.82,0.06,0.12,0.06,,,,,,,0.35,1.28,1.92,,10.00,22,31,11.00,1.0
Azeez Al-Shaair,2562462,LB,HOU,@LAR,3.36,2.4,0.18,0.48,0.06,0.06,0.06,,,,,,,0.24,0.48,,,8.88,38,32,10.40,1.52
Nick Bolton,2566175,LB,KC,@LAC,4.48,2.12,0.15,0.61,0.06,0.06,0.06,,,,,,,0.3,0.42,0.42,,10.66,14,33,10.20,-0.46
Justin Strnad,2563914,LB,DEN,TEN,2.63,1.72,0.2,0.4,,0.1,0.1,,0.1,,,,,,0.2,,0.1,6.93,64,34,10.20,3.27
