PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Trevor Lawrence,2566163,QB,JAX,TEN,262,2,,17,2,,,,,,,,18.31,1,32.18,13.87
Brock Purdy,2568216,QB,SF,TB,333,3,,14,,,,,,,,,19.74,2,26.72,6.98
Justin Herbert,2565045,QB,LAC,@GB,260,2,,73,,,,,,,,1,18.82,3,24.57,5.75
Lamar Jackson,2560757,QB,BAL,CIN,264,2,,54,,,,,,,,,20.16,4,23.96,3.8
Tommy DeVito,2570578,QB,NYG,@WAS,246,3,,7,,,,,,,,,13.66,5,22.54,8.88
Josh Allen,2560955,QB,BUF,NYJ,275,3,1,15,,,,,,,,,20.62,6,22.50,1.88
Kyler Murray,2562382,QB,ARI,@HOU,214,1,1,51,1,,,,,,,1,18.90,7,19.66,0.76
Justin Fields,2565920,QB,CHI,@DET,169,1,,104,,,,,,,,1,18.59,8,19.16,0.57
Jalen Hurts,2564832,QB,PHI,@KC,150,,1,29,2,,,,,,,1,20.61,9,17.90,-2.71
Sam Howell,2568333,QB,WAS,NYG,256,1,3,35,1,,,,,,,,19.80,10,17.74,-2.06
Jordan Love,2564007,QB,GB,LAC,322,2,,,,,,,,,,2,16.69,11,17.68,0.99
Tua Tagovailoa,2564499,QB,MIA,LV,325,2,1,6,,,,,,,,1,17.86,12,17.60,-0.26
Patrick Mahomes,2558125,QB,KC,PHI,177,2,1,38,,,,,,,,,22.69,13,16.88,-5.81
Dak Prescott,2555260,QB,DAL,@CAR,189,2,,6,,,,,,,,,19.83,14,16.16,-3.67
C.J. Stroud,2569819,QB,HOU,ARI,336,2,3,-1,,,,,,,,,19.86,15,15.34,-4.52
Joshua Dobbs,2558167,QB,MIN,@DEN,221,1,1,21,1,,,,,,,3,19.04,16,14.91,-4.13
Russell Wilson,2532975,QB,DEN,MIN,259,1,,1,,,,,,,,,16.83,17,14.46,-2.37
Jared Goff,2555334,QB,DET,CHI,236,2,3,3,,,,,,,1,,20.75,18,13.74,-7.01
Geno Smith,2539335,QB,SEA,@LA,233,1,,-1,,,,,,,,,17.11,19,13.22,-3.89
Will Levis,2569798,QB,TEN,@JAX,158,2,,2,,,,,,,,1,14.86,20,12.39,-2.47
Jake Browning,2562634,QB,CIN,@BAL,68,1,,40,,,,,,,,,0.48,21,10.72,10.24
Baker Mayfield,2560800,QB,TB,@SF,246,1,1,5,,,,,,,,1,16.95,22,10.34,-6.61
Matthew Stafford,79860,QB,LA,SEA,190,1,1,1,,,,,,,,,17.12,23,9.70,-7.42
Aidan O'Connell,2570044,QB,LV,@MIA,271,1,3,3,,,,,,,,,12.01,24,9.14,-2.87
Joe Burrow,2563722,QB,CIN,@BAL,101,1,,7,,,,,,,,,18.25,25,8.74,-9.51
Zach Wilson,2566391,QB,NYJ,@BUF,81,1,1,15,,,,,,,,,12.65,26,6.74,-5.91
Dorian Thompson-Robinson,2569672,QB,CLE,PIT,165,,1,20,,,,,,,,,12.57,27,6.60,-5.97
Bryce Young,2569606,QB,CAR,DAL,123,1,1,3,,,,,,,,1,14.07,28,5.22,-8.85
Kenny Pickett,2568162,QB,PIT,@CLE,106,,,9,,,,,,,,,12.64,29,5.14,-7.5
Cooper Rush,2559242,QB,DAL,@CAR,15,,,-3,,,,,,,,,1.23,30,0.30,-0.93
Davis Mills,2566136,QB,HOU,ARI,2,,,,,,,,,,,,0.68,31,0.08,-0.6
Holton Ahlers,2571369,QB,FA,Bye,,,,,,,,,,,,,,32,0.00,
Brandon Allen,2555365,QB,SF,TB,,,,,,,,,,,,,0.00,33,0.00,0.0
Tyson Bagent,2570467,QB,CHI,@DET,,,,,,,,,,,,,0.78,34,0.00,-0.78
Matt Barkley,2539308,QB,JAX,TEN,,,,,,,,,,,,,0.73,35,0.00,-0.73
C.J. Beathard,2557922,QB,JAX,TEN,,,,,,,,,,,,,0.68,36,0.00,-0.68
Stetson Bennett,2569939,QB,LA,SEA,,,,,,,,,,,,,0.00,37,0.00,0.0
James Blackman,2571132,QB,FA,Bye,,,,,,,,,,,,,,38,0.00,
David Blough,2563043,QB,DET,CHI,,,,,,,,,,,,,0.00,39,0.00,0.0
Ian Book,2566352,QB,FA,Bye,,,,,,,,,,,,,,40,0.00,
Teddy Bridgewater,2543465,QB,DET,CHI,,,,,,,,,,,,,0.60,41,0.00,-0.6
Jacoby Brissett,2555261,QB,WAS,NYG,,,,,,,,,,,,,0.78,42,0.00,-0.78
Anthony Brown,2568363,QB,FA,Bye,,,,,,,,,,,,,,43,0.00,
Shane Buechele,2566983,QB,BUF,NYJ,,,,,,,,,,,,,0.00,44,0.00,0.0
Derek Carr,2543499,QB,NO,Bye,,,,,,,,,,,,,,45,0.00,
Sean Clifford,2569762,QB,GB,LAC,,,,,,,,,,,,,0.73,46,0.00,-0.73
Matt Corral,2567349,QB,FA,Bye,,,,,,,,,,,,,,47,0.00,
Kirk Cousins,2532820,QB,MIN,@DEN,,,,,,,,,,,,,0.00,48,0.00,0.0
Malik Cunningham,2571222,QB,BAL,CIN,,,,,,,,,,,,,0.00,49,0.00,0.0
Andy Dalton,2495143,QB,CAR,DAL,,,,,,,,,,,,,0.64,50,0.00,-0.64
Sam Darnold,2561036,QB,SF,TB,,,,,,,,,,,,,0.89,51,0.00,-0.89
Tim Demorat,2571638,QB,FA,Bye,,,,,,,,,,,,,,52,0.00,
Ben DiNucci,2563839,QB,DEN,MIN,,,,,,,,,,,,,0.00,53,0.00,0.0
Jeff Driskel,2555262,QB,CLE,PIT,,,,,,,,,,,,,0.00,54,0.00,0.0
Max Duggan,2570278,QB,LAC,@GB,,,,,,,,,,,,,0.00,55,0.00,0.0
Jacob Eason,2564115,QB,NYG,@WAS,,,,,,,,,,,,,0.00,56,0.00,0.0
Sam Ehlinger,2566142,QB,IND,Bye,,,,,,,,,,,,,,57,0.00,
Danny Etling,2560717,QB,FA,Bye,,,,,,,,,,,,,,58,0.00,
Joe Flacco,382,QB,CLE,PIT,,,,,,,,,,,,,0.00,59,0.00,0.0
Nick Foles,2532842,QB,FA,Bye,,,,,,,,,,,,,,60,0.00,
Jake Fromm,2563608,QB,WAS,NYG,,,,,,,,,,,,,0.00,61,0.00,0.0
Blaine Gabbert,2495441,QB,KC,PHI,,,,,,,,,,,,,0.56,62,0.00,-0.56
Chase Garbers,2568975,QB,FA,Bye,,,,,,,,,,,,,,63,0.00,
Jimmy Garoppolo,2543801,QB,LV,@MIA,,,,,,,,,,,,,0.45,64,0.00,-0.45
Will Grier,2562404,QB,LAC,@GB,,,,,,,,,,,,,0.00,65,0.00,0.0
