PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
T.J. Hockenson,2562378,TE,DET,PHI,,,,,10,89,,,,,,11.97,1,13.90,11.97,1.93
Pat Freiermuth,2566442,TE,PIT,@CLE,,,,,4,44,1,,,,,6.27,2,12.40,6.27,6.13
Brevin Jordan,2566130,TE,HOU,LA,,,,,3,41,1,,,,,1.29,3,11.60,1.29,10.31
Jesse James,2552633,TE,CHI,SF,,,,,3,38,1,,,,,1.26,4,11.30,1.26,10.04
Dan Arnold,2559385,TE,JAX,@SEA,,,,,8,68,,,,,,7.42,5,10.80,7.42,3.38
Geoff Swaim,2553454,TE,TEN,@IND,,,,,4,23,1,,,,,2.19,6,10.30,2.19,8.11
Dallas Goedert,2560995,TE,PHI,@DET,,,,,6,72,,,,,,9.41,7,10.20,9.41,0.79
Evan Engram,2557858,TE,NYG,@KC,,,,,3,15,1,,,,,6.77,8,9.00,6.77,2.23
Tyler Kroft,2552586,TE,NYJ,CIN,,,,,2,20,1,,,,,,9,9.00,,
Mike Gesicki,2560994,TE,MIA,@BUF,,,,,3,48,,,,1,,9.71,10,8.30,9.71,-1.41
Tyler Conklin,2561027,TE,MIN,DAL,,,,,5,57,,,,,,6.48,11,8.20,6.48,1.72
Jack Doyle,2540232,TE,IND,TEN,,,,,2,12,1,,,,,4.62,12,8.20,4.62,3.58
Kyle Rudolph,2495438,TE,NYG,@KC,,,,,2,12,1,,,,,2.65,13,8.20,2.65,5.55
Jordan Akins,2560951,TE,HOU,LA,,,,,5,53,,,,,,4.85,14,7.80,4.85,2.95
Robert Tonyan,2559270,TE,GB,@ARI,,,,,3,49,,,,,,,15,6.40,,
Zach Ertz,2540158,TE,ARI,GB,,,,,4,42,,,,,,7.61,16,6.20,7.61,-1.41
Zach Gentry,2562654,TE,PIT,@CLE,,,,,3,39,,,,,,1.06,17,5.40,1.06,4.34
David Njoku,2557986,TE,CLE,PIT,,,,,3,39,,,,,,4.60,18,5.40,4.6,0.8
C.J. Uzomah,2552559,TE,CIN,@NYJ,,,,,4,33,,,,,,7.17,19,5.30,7.17,-1.87
Albert Okwuegbunam,2563911,TE,DEN,WAS,,,,,3,34,,,,,,3.40,20,4.90,3.4,1.5
Austin Hooper,2555415,TE,CLE,PIT,,,,,4,26,,,,,,5.28,21,4.60,5.28,-0.68
Garrett Griffin,2557033,TE,NO,TB,,,,,3,30,,,,,,0.12,22,4.50,0.12,4.38
