PlayerName,PlayerId,Pos,Team,PlayerOpponent,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,Rank,TotalPoints
Andy Borregales,2574365,K,NE,@CIN,2,,1,,,2,1,,,,1,18.00
Harrison Butker,2558245,K,KC,IND,,,,4,,1,,,,,2,16.00
Zane Gonzalez,2558178,K,ATL,@NO,1,,,,,1,2,,,,3,15.00
Cam Little,2572147,K,JAX,@ARI,3,,,,,,2,,,,4,13.00
Harrison Mevis,2572932,K,LAR,TB,4,,,,,1,1,,,,5,13.00
Jason Myers,2553112,K,SEA,@TEN,3,,,,2,1,,,,,6,13.00
Jake Bates,2571759,K,DET,NYG,4,,,,1,,1,,,,7,12.00
Ka'imi Fairbairn,2556521,K,HOU,BUF,2,,,2,,1,,,,,8,12.00
Brandon McManus,2541556,K,GB,MIN,2,,,,2,1,,,,,9,12.00
Evan McPherson,2565953,K,CIN,NE,2,,,,,,2,,,,10,12.00
Younghoe Koo,2559205,K,NYG,@DET,3,,,1,,1,,,,,11,11.50
Tyler Loop,2573940,K,BAL,NYJ,2,,,1,2,,,,,,12,11.00
Will Reichard,2572273,K,MIN,@GB,,,,,,,2,,,,13,10.00
Matt Gay,2562271,K,SF,CAR,2,,,1,,1,,,,,14,9.00
Mike Badgley,2560965,K,IND,@KC,2,,,1,1,,,,,,15,8.00
Cairo Santos,2550636,K,CHI,PIT,4,,,,,1,,,,,16,8.00
Andre Szmyt,2570470,K,CLE,@LV,3,,,,,,1,,,,17,8.00
Brandon Aubrey,2571750,K,DAL,PHI,3,,,,,1,,,,,18,7.00
Joey Slye,2563132,K,TEN,SEA,3,,,1,,,,,,,19,6.00
Nick Folk,2507225,K,NYJ,@BAL,1,,,,,1,,,,,20,5.00
Matt Prater,2506677,K,BUF,@HOU,1,1,,,1,1,,,,,21,5.00
Chad Ryland,2570125,K,ARI,JAX,3,,,1,,,,,,1,22,5.00
Chris Boswell,2550545,K,PIT,@CHI,4,,,,,,,,,,23,4.00
Daniel Carlson,2560993,K,LV,CLE,1,,,,,1,,,,,24,4.00
Jake Elliott,2558172,K,PHI,@DAL,3,,,,,,,,,,25,3.00
Ryan Fitzgerald,2573979,K,CAR,@SF,,,,1,,,,,,,26,3.00
Blake Grupe,2571234,K,FA,Bye,1,,,,1,,,,,1,27,2.00
Chase McLaughlin,2563203,K,TB,@LAR,1,,,,,,,,,,28,1.00
Tyler Bass,2563596,K,BUF,@HOU,,,,,,,,,,,29,0.00
Anders Carlson,2569750,K,FA,Bye,,,,,,,,,,,30,0.00
Ryan Coe,2574584,K,FA,Bye,,,,,,,,,,,31,0.00
Caden Davis,2574436,K,FA,Bye,,,,,,,,,,,32,0.00
Cameron Dicker,2568435,K,LAC,Bye,,,,,,,,,,,33,0.00
Graham Gano,71309,K,NYG,@DET,,,,,,,,,,,34,0.00
Alex Hale,2573890,K,FA,Bye,,,,,,,,,,,35,0.00
Lucas Havrisik,2569534,K,GB,MIN,,,,,,,,,,,36,0.00
Dustin Hopkins,2539227,K,FA,Bye,,,,,,,,,,,37,0.00
John Hoyland,2573932,K,FA,Bye,,,,,,,,,,,38,0.00
Greg Joseph,2561534,K,LV,CLE,,,,,,,,,,,39,0.00
Joshua Karty,2572201,K,LAR,TB,,,,,,,,,,,40,0.00
Jonathan Kim,2574013,K,FA,Bye,,,,,,,,,,,41,0.00
Lenny Krieg,2573911,K,ATL,@NO,,,,,,,,,,,42,0.00
Wil Lutz,2556601,K,DEN,Bye,,,,,,,,,,,43,0.00
Jude McAtamney,2573503,K,FA,Bye,,,,,,,,,,,44,0.00
Mark McNamee,2574637,K,FA,Bye,,,,,,,,,,,45,0.00
Jake Moody,2570308,K,WAS,Bye,,,,,,,,,,,46,0.00
Riley Patterson,2567013,K,MIA,Bye,,,,,,,,,,,47,0.00
Eddy Pineiro,2560842,K,SF,CAR,,,,,,,,,,,48,0.00
John Parker Romo,2569101,K,FA,Bye,,,,,,,,,,,49,0.00
Jason Sanders,2561153,K,MIA,Bye,,,,,,,,,,,50,0.00
Ben Sauls,2574499,K,NYG,@DET,,,,,,,,,,,51,0.00
Spencer Shrader,2573175,K,IND,@KC,,,,,,,,,,,52,0.00
Charlie Smyth,2572330,K,NO,ATL,,,,,,,,,,,53,0.00
Maddux Trujillo,2574200,K,FA,Bye,,,,,,,,,,,54,0.00
Justin Tucker,2536340,K,FA,Bye,,,,,,,,,,,55,0.00
Matthew Wright,2562968,K,FA,Bye,,,,,,,,,,,56,0.00
Cade York,2567487,K,NO,ATL,,,,,,,,,,,57,0.00
Greg Zuerlein,2534797,K,FA,Bye,,,,,,,,,,,58,0.00
