PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
Josh Allen,2560955,QB,BUF,WAS,358,,4,9,,,,,,,,22.40,1,37.22,22.4,14.82
Justin Herbert,2565045,QB,LAC,@KC,281,,4,16,,,,,,1,,19.21,2,30.84,19.21,11.63
Matthew Stafford,79860,QB,LA,TB,343,,4,-2,,,,,,,,19.28,3,29.52,19.28,10.24
Tom Brady,2504211,QB,TB,@LA,432,,1,14,,,,,,,1,19.07,4,26.68,19.07,7.61
Kirk Cousins,2532820,QB,MIN,SEA,323,,3,2,,,,,,,1,19.84,5,24.12,19.84,4.28
Taylor Heinicke,2553656,QB,WAS,@BUF,212,2,2,21,1,-2,,,,,,15.60,6,23.58,15.6,7.98
Ryan Tannehill,2532956,QB,TEN,IND,197,2,3,56,,,,,,,,20.47,7,23.18,20.47,2.71
Patrick Mahomes,2558125,QB,KC,LAC,260,2,3,45,,,,,,,,22.72,8,22.90,22.72,0.18
Derek Carr,2543499,QB,LV,MIA,386,1,2,-2,,,,,,,,19.13,9,22.24,19.13,3.11
Sam Darnold,2561036,QB,CAR,@HOU,304,,,11,,,,,,,2,17.39,10,21.26,17.39,3.87
Jalen Hurts,2564832,QB,PHI,@DAL,326,2,2,35,,,,,,,,18.93,11,20.54,18.93,1.61
Jacoby Brissett,2555261,QB,MIA,@LV,215,,,37,,,,,,1,1,16.75,12,19.30,16.75,2.55
Dak Prescott,2555260,QB,DAL,PHI,238,,3,6,,,,,,,2,20.78,13,18.99,20.78,-1.79
Kyler Murray,2562382,QB,ARI,@JAX,316,1,,19,,,,,,,,21.73,14,18.54,21.73,-3.19
Aaron Rodgers,2506363,QB,GB,@SF,261,,2,,1,-4,,,,,,20.30,15,18.54,20.3,-1.76
Lamar Jackson,2560757,QB,BAL,@DET,287,1,1,58,,,,,,,1,22.79,16,18.28,22.79,-4.51
Joe Burrow,2563722,QB,CIN,@PIT,172,1,3,7,,,,,,,,14.64,17,17.58,14.64,2.94
Baker Mayfield,2560800,QB,CLE,CHI,246,,1,31,,,,,,,,20.19,18,16.94,20.19,-3.25
Russell Wilson,2532975,QB,SEA,@MIN,298,,1,7,,,,,,,,,19,16.62,,
Jimmy Garoppolo,2543801,QB,SF,GB,257,1,2,4,,,,,,,1,17.26,20,15.68,17.26,-1.58
Matt Ryan,310,QB,ATL,@NYG,243,,2,-1,,,,,,,1,16.89,21,15.62,16.89,-1.27
Daniel Jones,2562299,QB,NYG,ATL,266,,,39,,,,,,1,2,20.34,22,14.17,20.34,-6.17
Jameis Winston,2552033,QB,NO,@NE,128,,2,4,,,,,,,,,23,13.52,,
Ben Roethlisberger,2506109,QB,PIT,CIN,318,2,1,5,,,,,,,,17.87,24,13.22,17.87,-4.65
Teddy Bridgewater,2543465,QB,DEN,NYJ,235,,,24,,,,,,,,18.62,25,11.80,18.62,-6.82
Davis Mills,2566136,QB,HOU,CAR,168,,1,,,,,,,,,14.53,26,11.72,14.53,-2.81
Mac Jones,2566334,QB,NE,NO,270,3,1,28,,,,,,,,13.06,27,11.60,13.06,-1.46
Taysom Hill,2558954,QB,NO,@NE,,,,32,,,,,,,,1.01,28,9.20,1.01,8.19
Jared Goff,2555334,QB,DET,BAL,217,,,4,,,,,,,,18.29,29,9.08,18.29,-9.21
