PlayerName,PlayerId,Pos,Team,PlayerOpponent,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Daniel Carlson,2560993,K,LV,@DAL,3,,,2,1,1,1,,,,6.98,1,21.00,14.02
Nick Folk,2507225,K,NE,TEN,3,,,2,1,1,1,,,,7.79,2,21.00,13.21
Mason Crosby,2507232,K,GB,LA,3,,,2,,1,,,,,7.07,3,13.00,5.93
Evan McPherson,2565953,K,CIN,PIT,5,,,,1,,1,,,,6.35,4,13.00,6.65
Justin Tucker,2536340,K,BAL,CLE,1,,,1,,1,1,,,,7.31,5,13.00,5.69
Robbie Gould,2506264,K,SF,MIN,4,,,1,,1,,,,,8.42,6,11.00,2.58
Cairo Santos,2550636,K,CHI,@DET,1,,,2,,1,,,,,7.23,7,11.00,3.77
Mike Badgley,2560965,K,IND,TB,4,,,,,1,,,,,7.12,8,8.00,0.88
Matt Gay,2562271,K,LA,@GB,2,,,,2,,,,,,6.47,9,8.00,1.53
Ryan Succop,89802,K,TB,@IND,5,,,1,,,,,,,7.90,10,8.00,0.1
Matt Ammendola,2565555,K,NYJ,@HOU,1,,,,2,,,,,,0.00,11,7.00,7.0
Tyler Bass,2563596,K,BUF,@NO,4,,,,1,,,,,,6.27,12,7.00,0.73
Graham Gano,71309,K,NYG,PHI,1,,,,2,,,,,,6.83,13,7.00,0.17
Jason Sanders,2561153,K,MIA,CAR,3,1,,,1,1,,,,,7.31,14,7.00,-0.31
Matthew Wright,2562968,K,JAX,ATL,,,,1,1,,,,,,6.08,15,6.00,-0.08
Chris Boswell,2550545,K,PIT,@CIN,1,,,,,1,,,,,7.13,16,5.00,-2.13
Zane Gonzalez,2558178,K,CAR,@MIA,1,,,,,1,,,,,,17,5.00,
Chase McLaughlin,2563203,K,CLE,@BAL,1,,,,,1,,,,,6.56,18,5.00,-1.56
Greg Zuerlein,2534797,K,DAL,LV,1,1,,1,,1,,,,,6.93,19,5.00,-1.93
Younghoe Koo,2559205,K,ATL,@JAX,3,,,,,,,,,,7.29,20,4.70,-2.59
Brandon McManus,2541556,K,DEN,LAC,4,,,,,,,,,,7.00,21,4.00,-3.0
Ka'imi Fairbairn,2556521,K,HOU,NYJ,2,,,,,,,,,,7.39,22,2.00,-5.39
Riley Patterson,2567013,K,DET,CHI,2,,,,,,,,,,6.30,23,2.00,-4.3
Jake Elliott,2558172,K,PHI,@NYG,1,,,,,,,,,,5.55,24,1.00,-4.55
Dustin Hopkins,2539227,K,LAC,@DEN,1,,,,,,,,,,6.91,25,1.00,-5.91
Jason Myers,2553112,K,SEA,@WAS,1,,,,,,,,,,7.33,26,1.00,-6.33
Roberto Aguayo,2555408,K,FA,Bye,,,,,,,,,,,,27,0.00,
Dan Bailey,2495259,K,FA,Bye,,,,,,,,,,,,28,0.00,
Rodrigo Blankenship,2564106,K,IND,TB,,,,,,,,,,,,29,0.00,
Chris Blewitt,2562800,K,CLE,@BAL,,,,,,,,,,,0.00,30,0.00,0.0
Harrison Butker,2558245,K,KC,Bye,,,,,,,,,,,,31,0.00,
Chandler Catanzaro,2550325,K,FA,Bye,,,,,,,,,,,,32,0.00,
Dominik Eberle,2565360,K,CAR,@MIA,,,,,,,,,,,0.00,33,0.00,0.0
Sam Ficken,2557430,K,TEN,@NE,,,,,,,,,,,,34,0.00,
Kai Forbath,2495150,K,FA,Bye,,,,,,,,,,,,35,0.00,
Elliott Fry,2562897,K,CIN,PIT,,,,,,,,,,,,36,0.00,
Stephen Gostkowski,2506922,K,FA,Bye,,,,,,,,,,,,37,0.00,
Lirim Hajrullahu,2563449,K,CAR,@MIA,,,,,,,,,,,0.00,38,0.00,0.0
Stephen Hauschka,2507374,K,FA,Bye,,,,,,,,,,,,39,0.00,
Brian Johnson,2566740,K,WAS,SEA,,,,,,,,,,,0.00,40,0.00,0.0
Alex Kessman,2566484,K,FA,Bye,,,,,,,,,,,,41,0.00,
Josh Lambo,2553833,K,FA,Bye,,,,,,,,,,,,42,0.00,
Ty Long,2553555,K,LAC,@DEN,,,,,,,,,,,0.00,43,0.00,0.0
Wil Lutz,2556601,K,NO,BUF,,,,,,,,,,,,44,0.00,
Austin MacGinnis,2563452,K,FA,Bye,,,,,,,,,,,,45,0.00,
Brett Maher,2540243,K,NO,BUF,,,,,,,,,,,7.20,46,0.00,-7.2
Tucker McCann,2565462,K,FA,Bye,,,,,,,,,,,,47,0.00,
JJ Molson,2565550,K,GB,LA,,,,,,,,,,,0.00,48,0.00,0.0
Chris Naggar,2565744,K,FA,Bye,,,,,,,,,,,,49,0.00,
Quinn Nordin,2565684,K,NE,TEN,,,,,,,,,,,0.00,50,0.00,0.0
Mike Nugent,2506386,K,FA,Bye,,,,,,,,,,,,51,0.00,
Cody Parkey,2550380,K,FA,Bye,,,,,,,,,,,,52,0.00,
