PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Tua Tagovailoa,2564499,QB,MIA,@LAC,466,3,1,5,,,,,,,,2,17.17,1,25.84,8.67
Mac Jones,2566334,QB,NE,PHI,316,3,1,15,,,,,,,,,15.99,2,24.14,8.15
Jordan Love,2564007,QB,GB,@CHI,245,3,,12,,,,,,,,1,14.94,3,22.00,7.06
Anthony Richardson,2569864,QB,IND,JAX,223,1,1,40,1,,,,,,,,16.19,4,20.92,4.73
Justin Herbert,2565045,QB,LAC,MIA,229,1,,17,1,,,,,,,,19.65,5,20.86,1.21
Deshaun Watson,2558063,QB,CLE,CIN,154,1,1,45,1,,,,,,1,1,20.70,6,19.66,-1.04
Patrick Mahomes,2558125,QB,KC,DET,226,2,1,45,,,,,,,,,23.36,7,19.54,-3.82
Kirk Cousins,2532820,QB,MIN,TB,344,2,1,7,,,,,,,,2,20.01,8,16.43,-3.58
Baker Mayfield,2560800,QB,TB,@MIN,173,2,,11,,,,,,,,,16.07,9,16.02,-0.05
Brock Purdy,2568216,QB,SF,@PIT,220,2,,20,,,,,,,,2,16.50,10,15.80,-0.7
Trevor Lawrence,2566163,QB,JAX,@IND,241,2,1,21,,,,,,,,1,18.78,11,15.74,-3.04
Sam Howell,2568333,QB,WAS,ARI,202,1,1,11,1,,,,,,,1,15.41,12,15.18,-0.23
Russell Wilson,2532975,QB,DEN,LV,177,2,,1,,,,,,,,,17.73,13,15.18,-2.55
Jared Goff,2555334,QB,DET,@KC,253,1,,-1,,,,,,,,,17.73,14,15.02,-2.71
Derek Carr,2543499,QB,NO,TEN,305,1,1,4,,,,,,,,,17.35,15,14.60,-2.75
Justin Fields,2565920,QB,CHI,GB,216,1,1,59,,,,,,,,1,18.46,16,14.54,-3.92
Matthew Stafford,79860,QB,LA,@SEA,334,,,11,,,,,,,,,16.02,17,14.46,-1.56
Jimmy Garoppolo,2543801,QB,LV,@DEN,200,2,1,11,,,,,,,,1,17.36,18,14.10,-3.26
Jalen Hurts,2564832,QB,PHI,@NE,170,1,,37,,,,,,,,1,22.27,19,12.50,-9.77
C.J. Stroud,2569819,QB,HOU,@BAL,242,,,20,,1,,,,,,1,13.96,20,10.18,-3.78
Zach Wilson,2566391,QB,NYJ,BUF,140,1,1,6,,,,,,,,,1.19,21,9.70,8.51
