PlayerName,PlayerId,Pos,Team,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,Rank,TotalPoints
Nick Folk,2507225,K,NE,28,,1,8,8,9,4,,,,1,135.00
Tyler Bass,2563596,K,BUF,40,1,,4,11,10,2,,,1,2,133.50
Justin Tucker,2536340,K,BAL,29,1,,8,10,4,7,,,,3,133.50
Daniel Carlson,2560993,K,LV,29,1,,8,10,2,9,,,,4,133.00
Jason Myers,2553112,K,SEA,37,1,,6,10,4,6,,,1,5,131.20
Brett Maher,2540243,K,DAL,43,1,,7,4,3,9,,,,6,130.00
Greg Zuerlein,2534797,K,NYJ,28,1,,5,7,7,6,,,,7,120.70
Chase McLaughlin,2563203,K,IND,16,,,6,5,8,8,,,1,8,120.00
Younghoe Koo,2559205,K,ATL,28,2,,6,4,8,6,,,,9,114.00
Eddy Pineiro,2560842,K,CAR,22,2,,2,14,10,2,,,1,10,113.80
Ka'imi Fairbairn,2556521,K,HOU,20,,,5,6,9,5,,,1,11,113.00
Graham Gano,71309,K,NYG,25,2,,1,8,8,7,,,1,12,112.00
Evan McPherson,2565953,K,CIN,36,2,1,3,3,9,5,,1,,13,111.70
Riley Patterson,2567013,K,JAX,29,,,7,7,8,1,,,1,14,107.00
Ryan Succop,89802,K,TB,20,,,9,5,9,2,,,1,15,107.00
Robbie Gould,2506264,K,SF,37,1,,8,4,6,2,,1,,16,105.40
Jason Sanders,2561153,K,MIA,36,3,,5,4,11,1,,1,,17,102.70
Cade York,2567487,K,CLE,29,2,,5,7,6,4,,,3,18,102.50
Brandon McManus,2541556,K,DEN,18,2,,6,3,8,7,,1,2,19,102.00
Matt Gay,2562271,K,LA,23,1,,7,6,3,5,,,,20,96.80
Wil Lutz,2556601,K,NO,28,,,4,9,4,3,,,2,21,96.00
Joey Slye,2563132,K,WAS,19,3,1,6,4,7,4,,,,22,91.80
Mike Badgley,2560965,K,DET,24,,,5,4,8,2,,1,,23,91.00
Greg Joseph,2561534,K,MIN,33,5,,8,5,5,2,,,,24,88.70
Jake Elliott,2558172,K,PHI,45,2,,4,6,,2,,,1,25,78.00
Mason Crosby,2507232,K,GB,29,1,,6,7,3,,,,,26,77.00
Cairo Santos,2550636,K,CHI,24,5,,3,5,6,4,,,,27,77.00
Harrison Butker,2558245,K,KC,28,3,,7,4,2,3,,,1,28,74.00
Matthew Wright,2562968,K,FA,15,,,1,6,6,2,,,1,29,72.40
Cameron Dicker,2568435,K,LAC,16,,,5,6,5,,,,,30,69.00
Matt Prater,2506677,K,ARI,14,,,1,6,6,2,,,,31,69.00
Chris Boswell,2550545,K,PIT,14,,,3,2,2,6,,,1,32,66.00
Randy Bullock,2533444,K,TEN,24,,,4,3,5,,,,,33,65.00
Dustin Hopkins,2539227,K,LAC,12,,,2,6,1,,,,,34,40.80
Austin Seibert,2562729,K,FA,12,,,,1,2,,,,,35,23.00
Rodrigo Blankenship,2564106,K,FA,4,1,,2,,1,1,,,,36,16.00
Taylor Bertolet,2556472,K,LAC,6,,,3,,,,,,,37,15.00
Matt Ammendola,2565555,K,FA,5,2,1,3,1,,,,,1,38,14.70
Tristan Vizcaino,2562807,K,NE,3,,,,1,1,,,,,39,10.00
Caleb Shudak,2568843,K,TEN,1,,,1,2,,,,,1,40,9.00
Nick Sciba,2569450,K,FA,1,,,1,1,,,,,,41,7.00
Josh Lambo,2553833,K,FA,2,,,,,,,,,,42,3.70
Jose Borregales,2567139,K,FA,,,,,,,,,,,43,0.00
Dominik Eberle,2565360,K,FA,2,2,,,,1,,,,,44,0.00
Jonathan Garibay,2568684,K,FA,,,,,,,,,,,45,0.00
Zane Gonzalez,2558178,K,CAR,,,,,,,,,,,46,0.00
Brian Johnson,2566740,K,FA,,,,,,,,,,,47,0.00
James McCourt,2569215,K,JAX,,,,,,,,,,,48,0.00
Andrew Mevis,2567754,K,FA,,,,,,,,,,,49,0.00
JJ Molson,2565550,K,FA,,,,,,,,,,,50,0.00
Chris Naggar,2565744,K,FA,,,,,,,,,,,51,0.00
Quinn Nordin,2565684,K,NE,,,,,,,,,,,52,0.00
Aldrick Rosas,2556771,K,FA,,,,,,,,,,,53,0.00
Ryan Santoso,2561269,K,FA,,,,,,,,,,,54,0.00
Sam Sloman,2564397,K,FA,,,,,,,,,,,55,0.00
Jake Verity,2566731,K,FA,,,,,,,,,,,56,0.00
